amount,hour,category,lat,lon,is_fraud
22.85,22,Telco,4.0667,101.5917,0
29.55,19,Grocery,4.3386,101.1629,0
9.61,11,Telco,3.557,101.7214,0
38.01,15,Telco,3.5295,101.1902,0
11.21,16,Telco,3.1545,101.5652,0
26.96,15,Grocery,3.8846,101.5009,0
27.68,22,Food,3.5009,101.0184,0
36.05,18,Food,3.8304,101.6795,0
28.69,22,Food,3.6556,101.1802,0
19.21,9,Food,3.3639,101.2191,0
21.28,15,Entertainment,3.7837,101.3765,0
13.58,17,Food,4.2629,101.6688,0
25.05,19,Food,4.3058,101.5117,0
31.18,16,Food,4.4877,101.2465,0
5.33,20,Telco,4.4117,101.6958,0
10.43,17,Telco,3.4795,101.6814,0
24.77,19,Telco,3.3668,101.3232,0
25.44,15,Food,3.5074,101.4862,0
40.55,23,Telco,4.3544,101.768,0
30.49,9,Food,4.449,101.0299,0
15.48,21,Transport,3.4817,101.4503,0
18.64,8,Telco,3.7378,101.0938,0
30.22,8,Grocery,3.5943,101.2902,0
44.68,8,Grocery,4.2932,101.7267,0
17.54,11,Grocery,3.776,101.3518,0
28.95,18,Grocery,3.9763,101.4229,0
21.86,14,Grocery,4.1682,101.1269,0
21.33,21,Food,4.2389,101.1556,0
22.41,22,Entertainment,3.8436,101.3773,0
20.9,11,Grocery,3.3714,101.4542,0
26.41,8,Grocery,3.9842,101.4798,0
22.19,13,Food,4.2829,101.1827,0
22.82,19,Grocery,3.7811,101.1437,0
24.94,14,Food,3.212,101.1655,0
40.04,23,Telco,3.7401,101.0558,0
18.48,20,Food,4.0894,101.4725,0
28.89,15,Entertainment,3.92,101.3921,0
15.02,11,Telco,4.1383,101.0775,0
29.49,22,Transport,4.4162,101.1832,0
4.09,19,Entertainment,4.0325,101.0303,0
14.1,21,Food,4.2892,101.1122,0
17.03,23,Transport,3.9543,101.3271,0
22.77,14,Entertainment,3.6967,101.201,0
20.65,14,Telco,3.6187,101.171,0
19.32,15,Entertainment,3.3016,101.1171,0
10.71,11,Grocery,3.809,101.7955,0
6.14,11,Telco,4.0742,101.7672,0
9.12,8,Food,4.2898,101.3295,0
10.9,12,Telco,3.8917,101.3046,0
26.86,19,Food,3.151,101.7838,0
5.0,17,Entertainment,3.9914,101.5031,0
15.69,16,Transport,3.3314,101.0123,0
17.64,20,Transport,4.1358,101.5693,0
28.68,20,Food,4.0842,101.2868,0
5.0,12,Entertainment,3.646,101.0872,0
38.94,9,Grocery,3.3511,101.4632,0
27.89,14,Grocery,3.2699,101.1131,0
19.91,13,Transport,4.44,101.3145,0
6.37,8,Telco,4.183,101.6481,0
26.02,12,Telco,3.4044,101.3697,0
20.55,21,Transport,3.1017,101.2341,0
17.09,19,Transport,4.2232,101.429,0
8.64,15,Telco,3.5888,101.0172,0
31.86,23,Transport,3.1106,101.353,0
19.39,14,Transport,4.3307,101.6582,0
18.89,23,Entertainment,4.4087,101.3254,0
15.17,20,Telco,3.1028,101.5474,0
20.97,20,Entertainment,3.3617,101.4467,0
5.12,23,Entertainment,3.3005,101.6259,0
14.96,8,Telco,4.2219,101.4807,0
29.16,15,Grocery,3.2273,101.3268,0
4.81,18,Grocery,4.1017,101.4649,0
19.59,22,Grocery,3.3445,101.7382,0
18.98,10,Grocery,3.4206,101.1257,0
29.14,15,Transport,4.3466,101.1735,0
5.29,23,Transport,4.2102,101.6454,0
22.51,22,Grocery,3.3113,101.3101,0
3.26,17,Entertainment,4.3525,101.1566,0
10.57,19,Transport,4.0341,101.1623,0
16.0,11,Telco,3.5663,101.0763,0
18.78,22,Transport,3.3249,101.5116,0
19.0,12,Grocery,4.4571,101.2092,0
17.7,14,Grocery,3.933,101.7983,0
45.45,12,Grocery,4.1492,101.367,0
28.17,19,Entertainment,3.4859,101.5363,0
23.21,17,Food,4.0486,101.3657,0
21.33,23,Transport,3.5918,101.1386,0
11.88,23,Food,3.8725,101.0891,0
32.52,14,Food,4.3082,101.1625,0
16.64,16,Transport,3.4418,101.5995,0
28.42,22,Food,3.1994,101.3516,0
16.52,21,Entertainment,3.9196,101.7096,0
16.98,17,Grocery,3.1862,101.4417,0
16.12,12,Entertainment,3.8841,101.3019,0
27.83,9,Food,3.456,101.3283,0
21.93,23,Telco,4.1391,101.366,0
21.31,19,Telco,4.1491,101.4719,0
27.61,15,Telco,3.7097,101.2152,0
13.33,19,Grocery,3.8675,101.5168,0
20.99,9,Entertainment,3.8171,101.1493,0
22.89,23,Telco,4.0362,101.5833,0
26.15,21,Food,4.2282,101.355,0
17.66,21,Grocery,3.8212,101.4202,0
18.71,17,Food,3.4399,101.5269,0
17.2,13,Transport,4.3097,101.1044,0
14.25,14,Entertainment,4.0093,101.0636,0
14.21,19,Telco,4.3737,101.4255,0
29.13,15,Entertainment,3.2584,101.2449,0
34.34,20,Food,3.4928,101.0817,0
18.37,14,Grocery,3.73,101.3273,0
20.68,10,Grocery,4.1518,101.2332,0
4.8,20,Food,3.3273,101.1385,0
18.36,14,Food,3.9424,101.255,0
22.19,16,Entertainment,3.2968,101.6849,0
40.67,13,Grocery,3.6755,101.4227,0
23.19,10,Telco,3.6341,101.3719,0
18.52,18,Telco,4.3984,101.2532,0
25.83,20,Entertainment,3.5214,101.4128,0
21.32,14,Transport,3.8746,101.1919,0
29.16,13,Telco,3.1468,101.241,0
17.3,20,Food,3.3218,101.5737,0
24.69,12,Entertainment,3.1107,101.0192,0
7.21,22,Entertainment,4.3692,101.4047,0
26.41,17,Food,4.2266,101.4074,0
20.86,21,Telco,3.2352,101.5309,0
19.27,22,Transport,3.1029,101.117,0
6.31,14,Transport,4.4592,101.6511,0
18.64,12,Telco,3.1928,101.4644,0
17.58,17,Telco,4.0134,101.5217,0
13.87,17,Telco,4.0326,101.3943,0
26.85,12,Grocery,3.4552,101.2675,0
27.0,9,Grocery,3.1067,101.1348,0
32.76,11,Transport,4.0823,101.3798,0
20.47,17,Transport,4.0097,101.4756,0
41.74,19,Telco,3.27,101.0937,0
25.4,8,Food,3.9321,101.7283,0
25.69,15,Telco,3.8364,101.5816,0
29.73,22,Telco,4.4331,101.4449,0
32.54,16,Transport,4.2427,101.1511,0
15.29,20,Food,3.1256,101.0422,0
20.14,16,Grocery,4.0219,101.145,0
42.57,18,Entertainment,4.4662,101.2268,0
35.8,14,Grocery,3.9222,101.5217,0
20.12,21,Food,4.3983,101.4422,0
30.62,10,Transport,3.1363,101.7218,0
16.0,18,Entertainment,3.1199,101.4102,0
20.81,21,Transport,3.392,101.5558,0
15.13,17,Telco,3.2495,101.3099,0
24.93,9,Food,4.1232,101.7878,0
20.57,19,Grocery,3.919,101.3368,0
17.47,23,Entertainment,3.3403,101.5538,0
6.53,21,Entertainment,4.1229,101.1158,0
7.61,20,Entertainment,4.4917,101.1341,0
22.96,16,Entertainment,3.4126,101.2906,0
30.2,15,Transport,3.3564,101.2099,0
42.38,12,Grocery,3.6983,101.1278,0
4.58,21,Transport,3.5286,101.6718,0
23.55,21,Telco,3.3709,101.2706,0
29.12,12,Food,4.1302,101.5973,0
12.17,13,Food,3.9412,101.2859,0
24.47,11,Entertainment,3.7804,101.7174,0
13.11,10,Telco,3.147,101.2207,0
25.69,15,Grocery,3.7107,101.6886,0
31.45,9,Entertainment,4.1948,101.4941,0
17.38,16,Entertainment,3.8195,101.7176,0
5.0,9,Telco,3.5411,101.015,0
10.39,23,Telco,4.441,101.6251,0
23.79,14,Telco,3.5809,101.3341,0
16.61,16,Telco,3.1176,101.3425,0
18.74,10,Transport,4.1556,101.271,0
16.29,22,Food,3.8487,101.1814,0
14.06,11,Transport,3.3378,101.4452,0
19.74,18,Telco,3.1178,101.0317,0
5.0,22,Telco,3.4976,101.5852,0
24.08,9,Transport,3.1546,101.6014,0
5.0,23,Food,3.1469,101.2828,0
5.0,14,Entertainment,3.6664,101.0826,0
12.79,21,Food,3.1327,101.3903,0
7.9,22,Transport,4.0062,101.3274,0
16.13,20,Transport,3.2895,101.673,0
41.7,10,Transport,3.4283,101.1768,0
16.68,8,Food,4.0698,101.5389,0
27.34,10,Grocery,4.3046,101.1452,0
22.31,19,Food,4.4885,101.2625,0
22.01,11,Telco,4.4448,101.0378,0
15.09,10,Entertainment,3.4213,101.4298,0
13.2,14,Grocery,4.4431,101.3782,0
32.52,23,Grocery,3.6625,101.0215,0
28.78,15,Transport,3.5694,101.4395,0
29.36,13,Entertainment,3.3419,101.0478,0
17.26,18,Grocery,3.3792,101.6186,0
23.7,17,Food,4.2956,101.3321,0
5.0,12,Transport,4.161,101.3095,0
2.3,11,Food,3.3009,101.4404,0
6.08,21,Grocery,4.203,101.5925,0
25.49,20,Food,4.219,101.5816,0
28.87,8,Transport,3.3719,101.2051,0
6.05,9,Grocery,4.4751,101.5564,0
30.86,22,Entertainment,3.5626,101.1916,0
10.85,16,Telco,3.4015,101.1129,0
17.89,15,Grocery,4.3707,101.1725,0
16.01,10,Food,3.4641,101.0302,0
24.81,21,Telco,3.3271,101.6986,0
2.68,11,Grocery,3.8456,101.7402,0
12.83,22,Transport,4.2501,101.6789,0
24.38,9,Entertainment,3.4883,101.1032,0
14.69,11,Entertainment,4.4258,101.6256,0
12.42,14,Telco,3.6009,101.4258,0
22.19,18,Grocery,3.9818,101.7663,0
24.5,22,Food,3.3053,101.5178,0
19.48,10,Transport,3.1738,101.7892,0
31.79,17,Food,3.275,101.4901,0
19.75,11,Grocery,3.6853,101.316,0
24.65,16,Telco,3.6409,101.5518,0
12.26,19,Entertainment,4.1052,101.1626,0
10.63,23,Grocery,3.6782,101.1714,0
13.16,15,Telco,3.7284,101.3176,0
22.35,23,Transport,4.1743,101.2562,0
13.94,10,Transport,4.4461,101.1052,0
23.68,23,Food,3.5284,101.742,0
21.89,9,Telco,4.2501,101.5144,0
24.31,17,Grocery,4.2097,101.5467,0
18.73,10,Transport,3.4116,101.5935,0
27.64,17,Grocery,3.6795,101.2695,0
18.63,17,Telco,3.4862,101.4102,0
32.62,8,Telco,3.2074,101.1039,0
29.67,12,Telco,3.7553,101.5686,0
10.76,17,Food,3.4745,101.1348,0
21.44,23,Telco,3.7772,101.5279,0
15.46,14,Grocery,4.2507,101.2806,0
29.28,15,Transport,4.2905,101.1613,0
27.19,23,Grocery,3.9274,101.2062,0
40.22,19,Grocery,3.1298,101.3974,0
23.5,19,Food,3.7312,101.612,0
24.74,8,Grocery,4.1842,101.5751,0
14.4,21,Transport,3.5461,101.1951,0
7.86,8,Food,4.3176,101.5717,0
7.51,20,Food,4.0863,101.1519,0
7.71,20,Transport,3.9286,101.6894,0
21.95,20,Grocery,3.8406,101.635,0
12.29,23,Transport,3.3938,101.6719,0
3294.36,4,Transfer,28.7553,111.285,1
11.62,10,Telco,3.7041,101.1995,0
8.15,18,Entertainment,3.942,101.6355,0
5.0,21,Transport,3.1818,101.4612,0
29.38,19,Food,3.5973,101.1145,0
16.54,19,Transport,3.639,101.2123,0
20.88,23,Entertainment,3.4701,101.0307,0
5.0,21,Transport,3.2606,101.2001,0
29.36,12,Entertainment,3.4198,101.2948,0
23.76,20,Transport,4.3938,101.5086,0
25.88,10,Telco,3.4538,101.2086,0
25.92,22,Transport,3.7941,101.4111,0
23.16,19,Food,4.427,101.4361,0
16.57,10,Food,4.354,101.3892,0
27.15,17,Transport,3.6369,101.1209,0
11.23,23,Telco,4.0839,101.2164,0
21.69,23,Grocery,4.3616,101.1775,0
30.56,16,Food,4.2878,101.0722,0
22.14,22,Transport,4.0249,101.2516,0
17.07,12,Transport,3.6429,101.0254,0
35.69,16,Food,3.4224,101.1496,0
19.39,17,Food,3.9534,101.6039,0
5.0,11,Entertainment,4.0184,101.5421,0
6.32,10,Transport,4.2721,101.6922,0
18.29,11,Entertainment,4.2594,101.2382,0
24.4,23,Transport,3.8909,101.544,0
15.39,17,Entertainment,4.08,101.5863,0
41.11,17,Grocery,4.0073,101.0761,0
14.9,15,Transport,3.1643,101.6414,0
15.76,16,Transport,3.2418,101.6751,0
36.83,22,Food,3.3673,101.6867,0
11.16,9,Transport,3.5677,101.0308,0
32.51,16,Grocery,3.1011,101.0368,0
30.47,18,Food,3.4146,101.0704,0
30.68,22,Grocery,3.9047,101.6628,0
27.29,21,Telco,3.4404,101.256,0
5.0,8,Transport,3.4829,101.7004,0
33.41,9,Telco,4.4124,101.4574,0
14.25,16,Grocery,4.0316,101.2982,0
21.0,13,Food,4.3164,101.3001,0
21.28,12,Grocery,3.6556,101.2846,0
26.5,14,Entertainment,4.2688,101.3174,0
21.22,10,Transport,3.5871,101.598,0
32.66,12,Telco,3.8506,101.3002,0
32.04,13,Telco,4.2651,101.0814,0
20.94,8,Entertainment,3.6681,101.4711,0
18.29,16,Entertainment,3.8068,101.1964,0
19.75,18,Grocery,3.776,101.1854,0
21.51,15,Transport,4.2199,101.4056,0
14.88,17,Grocery,4.0799,101.3365,0
10.84,18,Food,4.04,101.3782,0
33.88,15,Entertainment,3.3026,101.4677,0
10.38,20,Telco,4.4121,101.3192,0
28.02,9,Telco,4.4176,101.6436,0
31.24,14,Food,3.6456,101.7713,0
5.0,16,Telco,3.4733,101.1143,0
24.86,23,Telco,3.4106,101.267,0
14.44,19,Food,4.3213,101.4234,0
5.0,8,Telco,4.38,101.3612,0
39.57,18,Telco,4.1597,101.7485,0
10.86,10,Transport,3.1702,101.7132,0
18.78,10,Transport,3.336,101.6984,0
30.45,21,Grocery,3.7065,101.6925,0
33.28,10,Transport,3.9119,101.7375,0
20.27,11,Food,4.4443,101.6068,0
25.93,10,Entertainment,3.2888,101.1254,0
15.91,21,Transport,4.343,101.0092,0
25.72,13,Transport,4.0533,101.5794,0
20.5,11,Grocery,4.3451,101.6881,0
24.7,9,Transport,4.2773,101.7038,0
11.83,19,Transport,3.3268,101.4299,0
7.95,15,Telco,4.0928,101.6615,0
25.33,14,Telco,3.2098,101.7798,0
12.41,19,Grocery,4.0364,101.5533,0
28.9,17,Entertainment,3.6876,101.6327,0
17.96,22,Entertainment,3.1032,101.2109,0
11.58,16,Food,3.5477,101.3701,0
17.82,19,Food,3.8548,101.6438,0
13.61,14,Grocery,3.733,101.4862,0
21.18,17,Grocery,3.5681,101.3844,0
25.17,14,Telco,3.2535,101.1483,0
5.0,12,Transport,3.7277,101.7936,0
14.9,15,Food,3.2835,101.4949,0
24.0,8,Grocery,3.6128,101.3908,0
19.74,8,Telco,4.292,101.674,0
32.64,10,Food,3.3669,101.4356,0
23.94,13,Food,4.0881,101.4274,0
22.33,14,Entertainment,3.6557,101.4992,0
26.48,13,Grocery,3.4152,101.5943,0
7.01,15,Grocery,3.7336,101.473,0
14.78,19,Transport,3.696,101.4629,0
22.9,21,Food,3.6286,101.2901,0
17.03,13,Grocery,4.4416,101.4011,0
19.87,12,Transport,3.5248,101.3359,0
12.43,9,Food,4.2673,101.289,0
11.34,21,Transport,3.3247,101.3367,0
23.99,18,Transport,3.7707,101.1825,0
7.59,11,Grocery,3.2379,101.6815,0
21.21,10,Food,3.3726,101.559,0
25.65,11,Grocery,3.1508,101.1598,0
22.9,14,Food,3.1508,101.4213,0
29.84,11,Entertainment,4.4477,101.7833,0
33.86,19,Entertainment,3.3125,101.5858,0
28.97,13,Telco,3.2986,101.4647,0
35.56,14,Grocery,3.5601,101.0664,0
25.21,17,Grocery,4.0283,101.5136,0
22.19,10,Food,4.4122,101.4357,0
18.06,22,Grocery,3.6759,101.4639,0
25.92,22,Transport,4.2372,101.0203,0
21.88,23,Transport,3.9641,101.3957,0
199.0,1,Transfer,22.7225,117.0461,1
18.08,10,Transport,4.107,101.3267,0
21.85,16,Transport,3.4655,101.4734,0
33.68,8,Transport,3.5275,101.2546,0
29.16,16,Grocery,4.4428,101.1522,0
16.99,23,Entertainment,3.7171,101.2133,0
28.12,12,Transport,4.4501,101.0804,0
31.22,8,Telco,4.1274,101.6404,0
36.71,12,Food,3.3712,101.5805,0
5.99,14,Telco,3.3028,101.5673,0
18.06,13,Entertainment,3.1649,101.4395,0
14.27,12,Grocery,4.3164,101.3628,0
22.24,21,Entertainment,4.0139,101.67,0
10.77,10,Entertainment,3.2676,101.278,0
21.09,15,Food,3.1639,101.6558,0
27.97,23,Transport,3.4642,101.0535,0
26.33,15,Transport,4.3635,101.7657,0
34.01,8,Telco,4.1413,101.2261,0
19.75,15,Transport,4.4524,101.0256,0
19.45,22,Telco,3.9905,101.3273,0
29.8,21,Grocery,4.1808,101.6045,0
20.93,11,Transport,3.5829,101.3682,0
26.61,17,Entertainment,3.3383,101.249,0
17.66,15,Food,3.2607,101.6977,0
14.34,15,Entertainment,3.5663,101.5021,0
11.6,20,Grocery,3.4117,101.1024,0
21.89,21,Entertainment,3.1853,101.6626,0
28.48,16,Entertainment,4.4545,101.4658,0
21.92,13,Telco,4.28,101.3977,0
5.0,13,Grocery,3.3946,101.6379,0
47.63,13,Food,3.1132,101.1834,0
14.91,20,Entertainment,4.359,101.7902,0
11.22,17,Transport,3.8737,101.3273,0
21.56,16,Telco,3.4048,101.6432,0
26.81,11,Food,3.7371,101.1597,0
15.02,11,Food,4.2053,101.5767,0
19.89,15,Grocery,4.4878,101.1043,0
21.93,17,Transport,3.4961,101.1905,0
27.8,18,Grocery,4.4231,101.0425,0
34.51,13,Grocery,4.213,101.4105,0
12.44,19,Telco,4.2425,101.4472,0
26.72,20,Food,3.4574,101.3201,0
20.95,22,Telco,3.7421,101.0305,0
26.64,23,Grocery,4.1187,101.1893,0
28.46,14,Grocery,3.205,101.7522,0
30.07,21,Grocery,4.125,101.0875,0
19.07,10,Entertainment,3.8923,101.4134,0
199.0,0,Transfer,38.5181,112.7482,1
10.93,12,Entertainment,4.4822,101.3862,0
20.84,15,Grocery,4.122,101.4158,0
33.0,10,Food,4.0227,101.7489,0
10.77,18,Grocery,4.2934,101.3126,0
12.46,14,Entertainment,4.4993,101.6956,0
5.0,8,Food,4.2934,101.4295,0
40.62,23,Entertainment,3.7024,101.0525,0
16.65,15,Transport,4.2326,101.5315,0
27.66,18,Grocery,4.2807,101.1081,0
8.61,12,Entertainment,4.4592,101.5487,0
26.28,23,Food,4.1103,101.2161,0
31.65,10,Grocery,3.5012,101.1477,0
32.62,13,Transport,3.9279,101.3231,0
25.27,15,Entertainment,3.7753,101.2462,0
8.98,20,Transport,3.2812,101.5916,0
28.61,21,Food,3.3054,101.5206,0
11.54,20,Food,3.4988,101.0588,0
14.68,18,Entertainment,3.9226,101.7706,0
25.78,18,Food,3.8962,101.1756,0
21.93,11,Telco,3.5132,101.4018,0
6.39,15,Grocery,3.6943,101.0548,0
4594.95,4,Transfer,10.2841,114.8494,1
30.94,22,Transport,4.3448,101.6289,0
18.13,11,Telco,3.4967,101.5028,0
5.0,11,Food,3.6436,101.1293,0
34.83,20,Grocery,3.5975,101.4446,0
33.28,11,Grocery,4.3808,101.2758,0
3.87,9,Entertainment,3.6629,101.7886,0
21.84,21,Food,4.3699,101.5864,0
28.87,16,Entertainment,3.2108,101.6429,0
5.0,8,Grocery,3.3945,101.4944,0
13.86,10,Telco,3.6757,101.2098,0
29.68,14,Grocery,3.1393,101.6862,0
24.23,19,Grocery,4.0402,101.6625,0
15.16,8,Telco,3.4531,101.4158,0
20.12,18,Entertainment,3.792,101.6628,0
30.44,17,Transport,3.1177,101.5636,0
9.04,19,Telco,3.3546,101.3917,0
14.11,15,Entertainment,4.2302,101.6792,0
27.16,11,Entertainment,3.9331,101.791,0
30.86,20,Entertainment,3.4499,101.6002,0
40.11,13,Food,4.1892,101.5887,0
9.22,23,Grocery,3.3142,101.3107,0
28.51,16,Entertainment,3.3173,101.099,0
23.0,10,Grocery,3.3563,101.2735,0
26.63,17,Transport,3.2477,101.0736,0
23.56,15,Entertainment,3.9688,101.2702,0
24.45,22,Grocery,3.5125,101.5558,0
